!	 EXCLAMATION MARK
#	 NUMBER SIGN
&	 AMPERSAND
nᵐᵒ	 LATIN SMALL LETTER N + MODIFIER LETTER SMALL M + MODIFIER LETTER SMALL O
nᵗ	 LATIN SMALL LETTER N + MODIFIER LETTER SMALL T
nᵗᵃ	 LATIN SMALL LETTER N + MODIFIER LETTER SMALL T + MODIFIER LETTER SMALL A
nꝰ	 LATIN SMALL LETTER N + MODIFIER LETTER US
o	 LATIN SMALL LETTER O
oʳ	 LATIN SMALL LETTER O + MODIFIER LETTER SMALL R
ō	 LATIN SMALL LETTER O + COMBINING MACRON
ō̗	 LATIN SMALL LETTER O + COMBINING MACRON + COMBINING ACUTE ACCENT BELOW
o̗	 LATIN SMALL LETTER O + COMBINING ACUTE ACCENT BELOW
oͤ	 LATIN SMALL LETTER O + COMBINING LATIN SMALL LETTER E
oͤˊ	 LATIN SMALL LETTER O + COMBINING LATIN SMALL LETTER E + MODIFIER LETTER ACUTE ACCENT
oͮ	 LATIN SMALL LETTER O + COMBINING LATIN SMALL LETTER V
oꝰ	 LATIN SMALL LETTER O + MODIFIER LETTER US
p	 LATIN SMALL LETTER P
p̄	 LATIN SMALL LETTER P + COMBINING MACRON
p̄ꝰ	 LATIN SMALL LETTER P + COMBINING MACRON + MODIFIER LETTER US
pᵐ	 LATIN SMALL LETTER P + MODIFIER LETTER SMALL M
pꝰ	 LATIN SMALL LETTER P + MODIFIER LETTER US
q	 LATIN SMALL LETTER Q
q́	 LATIN SMALL LETTER Q + COMBINING ACUTE ACCENT
qᵒ	 LATIN SMALL LETTER Q + MODIFIER LETTER SMALL O
r	 LATIN SMALL LETTER R
r̄	 LATIN SMALL LETTER R + COMBINING MACRON
r̉	 LATIN SMALL LETTER R + COMBINING HOOK ABOVE
rꝰ	 LATIN SMALL LETTER R + MODIFIER LETTER US
s	 LATIN SMALL LETTER S
sʼ	 LATIN SMALL LETTER S + MODIFIER LETTER APOSTROPHE
s̄	 LATIN SMALL LETTER S + COMBINING MACRON
sᵒ	 LATIN SMALL LETTER S + MODIFIER LETTER SMALL O
sꝰ	 LATIN SMALL LETTER S + MODIFIER LETTER US
t	 LATIN SMALL LETTER T
tʼ	 LATIN SMALL LETTER T + MODIFIER LETTER APOSTROPHE
tʼʼ	 LATIN SMALL LETTER T + MODIFIER LETTER APOSTROPHE + MODIFIER LETTER APOSTROPHE
t̄	 LATIN SMALL LETTER T + COMBINING MACRON
tͤ	 LATIN SMALL LETTER T + COMBINING LATIN SMALL LETTER E
tᵗ	 LATIN SMALL LETTER T + MODIFIER LETTER SMALL T
tᵗᵃ	 LATIN SMALL LETTER T + MODIFIER LETTER SMALL T + MODIFIER LETTER SMALL A
tꝰ	 LATIN SMALL LETTER T + MODIFIER LETTER US
u	 LATIN SMALL LETTER U
u̇	 LATIN SMALL LETTER U + COMBINING DOT ABOVE
uͤ	 LATIN SMALL LETTER U + COMBINING LATIN SMALL LETTER E
uͤˊ	 LATIN SMALL LETTER U + COMBINING LATIN SMALL LETTER E + MODIFIER LETTER ACUTE ACCENT
uͤͤ	 LATIN SMALL LETTER U + COMBINING LATIN SMALL LETTER E + COMBINING LATIN SMALL LETTER E
