⁊	⁊	⁊c,⁊c,⁊c,⁊c,⁊c,⁊cKewethkezyk,⁊c,⁊ctWala,⁊ctMykoron,⁊cMyker,⁊c
Ń	N	Ńissatok,Ńomorvsag,Ńelvedet,Ńvgoǵatok,Ńelves,Ńomorosagban,Ńeged,Ńolczad,Ńolczadkeńńa,Ńalakcal,Ńilvan
n̈	n	elmn̈-landokrul
n̋	n	men̋e,men̋orz-@@agban,ken̋erho̗z,ken̋erho̗z,tÿkmon̋,ken̋ereeth,men̋orzaag,ken̋er,ke-@@n̋erre,men̋eÿkenernek,hwn̋uan
n̄	n	men̄enek,men̄en,filipen̄,mōn̄ga,alun̄eÿek,o̗an̄ÿanak,vtan̄amasodik,halalhozo̗n̄o̗n,isten̄ekengedno̗m,ÿmeluen̄ÿ,bemen̄e
N̋	N	N̋olczad
ȯ	ó	bucȯzot,köuetkȯzendo,midȯnkeserues,kȯni,kȯnueez{116}{58v}[[]]{117}{59r}Iesus
ō	ó	Capitulō,mōn̄ga,mōd--van,mōd--van,vǵmōdaz,vǵmōdZereto̗,Vǵmōdtouabba,mōd--van,vǵmōdO,esmōdvan,mōd--van
ó̗	ó	elviro̗só̗lvenes,tó̗reben,mennekkó̗,gv́lo̗ló̗m,ió̗io̗n,tó̗t,ǵó̗itven{189v}Kedeg,betó̗kkel,kó̗ueteserv̗l:,edó̗s,felsegó̗s
ô	o	ô,ô
ᵒ	o	p̄dīᵒMíkoron,p̄dícaᵒMínek,p̄díkaᵒO,caᵒxxj,ÿaÿokatcaᵒ,caᵒ,psᵒ,psᵒxxxiij,mÿat{33a}Psᵒ,psᵒ,caᵒ
ó̄	ó	teró̗̄tó̗
ó̗̄	ó	teró̗̄tó̗
ỏ̗	or	embỏ̗vala
ỏ	or	giakỏtameg,haromỏzagoknak,embỏ̗vala,doctỏes,batỏsagnak,doctỏputo,doctỏin,menỏzagba
O̗	Ő	ehnyeiteniO̗to̗d,O̗k,O̗,O̗k,vala{274}{137v}O̗,SimonnakO̗o̗k,.(E)O̗ro̗lieto̗k,O̗to̗d,SO̗t,O̗,O̗
o̗	ő	elo̗,zento̗lo̗,zento̗lo̗,yzo̗ghes,peto̗r,Apastalg(a)bcBo̗ith,Ghergo̗r,Benedo̗k,Gÿmo̗lch,Go̗rgh,peto̗r
ō	ő	lelkō̗bezíuemben,by̋nō̗knec
ō̗	ő	lelkō̗bezíuemben,by̋nō̗knec
ǒ	ő	vǒ̗n,lǒ̗n,kezeibǒ̗l,nembǒ̗l,lǒ̗n,halalbǒl,hǒlt,ÿdǒ̗d,o̗rǒ̗lnek
ǒ̗	ő	vǒ̗n,lǒ̗n,kezeibǒ̗l,nembǒ̗l,lǒ̗n,ÿdǒ̗d,o̗rǒ̗lnek
ō̗	ő	ziksegō̗--nec,o̗rō̗melhozzad,istenō̗--nec,ko̗nÿo̗rogÿō̗k,ennekō̗kellemeto̗sso̗k,fo̗ldō̗valo,ennekō̗,Iduo̗ssego̗nkō̗kih,so̗nnō̗maganak,bēnō̗klakozik,o̗nnō̗magat
oͤ	ö	kernÿkoͤzTegedet,koͤueſſ,Goͤroͤguͤl,Goͤroͤguͤl,Toͤruińin̄,oͤroͤk,oͤroͤk,oͤroͤkkę,oͤroͤkkę,menńboͤl,oͤroͤk
Oͤ	Ö	Oͤtoͤdik,Oͤrdoͤg,Oͤt,Oͤrizznek,Oͤtoͤdik,TOͤrtinęk,Oͤruͤllʼetek,Oͤrdoͤg,Oͤt,Oͤruengetek,Oͤrnuengetek
oͤˊ	ö	koͤˊltoͤzésben.[[12]]És,koͤˊltoͤ-zés-után;,kitoͤˊl,koͤˊltoͤzéſig,,koͤˊltoͤzéſtoͤˊl-fogva,koͤˊltoͤzéſtoͤˊl-fogva,Lélektoͤˊl.,oͤˊtet,oͤˊtet,Lélektoͤˊl,buͤˊnoͤkboͤˊl.
ő̗	ő	ző̗nÿk,kő̗wethsseeghetw̋lNeegÿed,terheebő̗l,ÿdő̗benmÿkoronhallotta,eedesÿdwő̗zeÿtew,ÿdő̗benkÿldeenekel,Ierw--salembő̗l,kó̗ző̗ttetek,kő̗teleet,tő̗rween̋et<.>Azerth,ssebő̗lchesseegheeben
p̄	p	Cap̄,Cap̄Ezeket,Cap̄,Cap̄,Cap̄,Cap̄,Cap̄,Cap̄,Cap̄,xp̄sez,xp̄us
ṕ	p	ciṕanus,ciṕanus,ciṕanusſnaklattatyk,ciṕanusnak,ciṕanus,ciṕanuſtvl,ciṕanus,zentciṕanus
P̄	P	P̄dicacōiaval
ꝓ	pro	ꝓpheta,ꝓpheta,Isaiasꝓpheta,ꝓpheta,ꝓphe--ta,zentꝓfetat,ꝓpfeta,ꝓfetathmÿkeppen,ꝓuincialisthog,ꝓuincialis,ꝓuincialisaz
r̉	r	embo̗r̉eLennie,tenger̉e
ʳ	r	embʳ,embʳ,embʳ,embʳnekennen,barbʳZyz,embʳkepek,doʳOh,volʳᵒˡharmad,doctoʳ
ŕ	r	fŕater,veŕ
ͬ	r	Haͬmadzor
